sketch,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f15
2_horizontal_ego,0.0,-1.0,393.47172706561776,0.0865181713523739,392.4754769409167,0.9962405881956828,-0.08662961636484198,397.4140917307924,-0.7853981633974483,16.489855252985887,11.617004699234066,322354232.9238521,0.47273898124694824,1.012583244253549
2_b_ego,-0.8944271909999159,0.4472135954999579,562.4775551077572,0.9892038918576407,376.26054802490256,0.03720825920625996,0.9993075329681247,2144.78725995107,-6.2831853071795845,37.573697493417185,22.682465502991086,585631598.0369443,1.5314362049102783,5.700271450753107
2_square_ego,-1.0,0.0,544.2067621777591,0.8256884417030099,9.848857801796104,-0.40613846605344767,-0.9138115486202573,1459.983066311161,-3.1415926535897922,95.52552734619965,84.62235955386505,228451405.4952163,2.3285789489746094,148.23882075390597
2_c_ego,-0.9701425001453319,-0.24253562503633297,465.2418725781247,0.8950483355663583,264.27258654654287,0.045407660918649985,0.9989685402102997,826.700990358587,3.6052402625905993,12.364454112604191,2.8111870152560803,310012191.39644206,0.5840370655059814,3.1282131876095707
2_tra_ego,,,648.4442921331022,0.6805212246672144,5.656854249492381,0.7071067811865475,-0.7071067811865475,1514.9889166862897,1.107148717794092,312.20385952635866,296.5918218552908,193314824.82188457,4.943645000457764,267.8147341028342
2_a_ego,-0.7071067811865475,0.7071067811865475,406.01108359255414,0.9199061899177077,212.08488866489287,0.6223922922135584,0.782705458389778,1455.821512204461,9.42477796076938,44.768113312488005,51.54929902262472,277759176.1760344,1.4928040504455566,6.864334000263207
2_circle_ego,-0.8944271909999159,-0.4472135954999579,150.98675438593943,0.7150916992788239,9.486832980505138,-0.9486832980505138,-0.31622776601683794,352.12387189748875,-7.853981633974483,44.34132457120703,27.491307750732773,51230026.10518468,0.768996000289917,37.11711512378069
2_rectangular_ego,1.0,0.0,644.9434083700678,0.6224124242104326,10.295630140987,-0.8741572761215377,0.48564293117863205,1733.6705468918403,-3.1415926535897936,82.23114894781675,83.14772664726168,1024719239.877571,2.6610751152038574,168.3889692181231
2_star_ego,-1.0,0.0,796.8218119504511,0.6670970299509325,27.51363298439521,0.3271105638831663,-0.9449860734402582,2942.9016897820297,-12.566370614359174,149.9688234228913,116.20483469541365,537915633.264847,3.0818700790405273,106.96158124414696
2_a,-0.7071067811865475,-0.7071067811865475,472.8889933166134,0.8332657616880934,198.17164277464119,0.7367350744830315,0.6761815067173029,1580.8470412643924,10.750595624437413,33.83172186558726,31.00675081448489,5609180837.547189,1.205812692642212,7.977160703371248
2_c,-0.8,-0.6,613.7662421476111,0.8927475085956585,248.8714527622644,0.3174329523260553,0.9482807183411273,1110.5407810349548,5.023387260990232,22.70934807509577,5.687577272176073,1560578561.5652022,0.7971498966217041,4.462306820283659
2_horizontal,-0.9899494936611665,0.1414213562373095,399.6248240537617,0.09020678347099176,384.42164351139235,0.9989031743698379,0.04682358629858615,413.92735559231824,3.1749136494680408,8.742520686811435,11.180342002118632,1435243521.532132,0.26861095428466797,1.076753514217915
2_b,-0.8944271909999159,-0.4472135954999579,632.3701447728221,0.9766534495401337,479.7603568449565,0.05627809720994841,0.9984151319838995,2060.9111124761966,-5.608444364956032,38.6641357862139,20.587329722163005,323088816.2427181,1.4749619960784912,4.29570947885179
2_square,-0.7071067811865475,-0.7071067811865475,581.2847839054451,0.7975630134175782,5.0,-0.6,-0.8,1407.4213568845282,-9.42477796076938,69.38733241258258,30.83982850727372,747599651.03954,1.9618470668792725,281.48427137690567
2_star,-0.8944271909999159,-0.4472135954999579,660.4801283914604,0.7189724294739586,50.08991914547278,0.05989229072794672,-0.9982048454657786,2437.6289637057666,-14.392349331774888,59.60047260099732,27.995291184418292,2426290429.8903155,1.598823070526123,48.66506086037642
2_rectangular,-0.8944271909999159,-0.4472135954999579,637.5092156196646,0.6249905153766807,7.211102550927978,-0.5547001962252291,-0.8320502943378437,1543.2336931459738,-9.888425569770185,43.5203070415991,20.294415835697883,1129894725.990602,1.3700659275054932,214.0080081023642
2_tra,-0.7071067811865475,-0.7071067811865475,667.3559769718107,0.7239046670832078,18.027756377319946,0.5547001962252291,-0.8320502943378437,1544.5065299917442,-9.74652851516602,124.36511682751599,75.55490390677065,171456281.5901447,2.2037370204925537,85.67380752575683
2_circle,-0.7071067811865475,-0.7071067811865475,268.03917624108607,0.8038657206454893,4.123105625617661,-0.24253562503633297,0.9701425001453319,589.1060569381351,-8.276835560107424,18.24015689323838,7.640619792661088,932252794.977165,0.5655918121337891,142.87920573218017
2_a_pla,0.0,-1.0,306.86316168611705,0.8522728875560659,196.2090721653818,0.8511329173364528,-0.5249502424290696,805.2292954209901,-1.5707963267948952,112.17660125781397,77.17994990385397,30781.0,2.0,4.103935085846968
2_tra_pla,0.8944271909999159,0.4472135954999579,373.9545426920229,0.7286410055753549,33.12099032335839,-0.4830773429113347,0.8755776840267941,863.0428900008837,-5.695182703632018,197.69204157219394,163.8717460239699,5.0,3.0,26.05727913250914
2_c_pla,-0.4472135954999579,0.8944271909999159,167.05687654209268,1.0160040996570008,144.08677940741129,0.41641572007343947,0.9091743221603429,220.2290712193722,1.8925468811915387,30.745888107422463,17.872232380595406,0.0,0.0,1.528447454548661
2_square_pla,-1.0,0.0,292.2362058335688,0.6592424505089025,8.06225774829855,-0.9922778767136677,-0.12403473458920847,781.9800646156663,6.283185307179586,211.58105545708736,219.43432765194046,4.0,3.0,96.99268976865625
2_b_pla,-0.7071067811865475,-0.7071067811865475,224.66196829904254,1.0693181696213518,188.66372200293304,0.13251090212039462,0.9911815478605517,814.6886700780767,-7.068583470577035,102.67129506430034,100.83342516503713,2.0,2.0,4.318205224772419
2_horizontal_pla,1.0,0.0,381.55995597022496,0.1367080722664081,381.55995597022496,0.9906699958564238,-0.13628264493262973,426.6782489198862,1.5707963267948966,125.12887990738245,125.68590282543423,2.0,2.0,1.118246928808174
2_star_pla,0.9805806756909202,0.19611613513818404,371.7122543043207,0.7054164786572484,25.45584412271571,0.7071067811865476,0.7071067811865476,1431.4071256178297,-10.995574287564276,312.8044170390711,275.664259490102,10.0,4.0,56.23098250906176
2_rectangular_pla,-0.7071067811865475,0.7071067811865475,402.031093324882,0.3823539500678527,2.0,-1.0,0.0,1007.858487859022,6.283185307179586,123.72476449041956,111.56482519835927,4.0,3.0,503.929243929511
2_circle_pla,-0.7071067811865475,-0.7071067811865475,317.00157728314224,0.9241406543331354,7.0710678118654755,0.7071067811865475,0.7071067811865475,728.8268571591309,7.853981633974482,194.30804051249058,173.97345498260455,17.0,2.0,103.07168260162014
